,CM,GENDER,AGE
193,[4.29229401 3.9507869  3.32227954 ... 0.         6.83486575 7.17016563],F,31
194,[2.05364283 5.34164067 5.39692382 ... 0.         5.46971051 4.90017214],M,29
195,[3.80011691 4.45455917 2.40924629 ... 0.         7.02889706 6.38418798],F,23
196,[1.78284755 2.99670631 0.         ... 0.         6.83439109 5.53091716],M,28
197,[3.74785194 0.         1.98873221 ... 0.         4.32336507 4.20364557],F,23
198,[3.52323586 6.03346798 4.49938146 ... 0.         6.22283964 6.04181258],M,33
199,[3.90206469 7.05945257 5.66476908 ... 0.         6.64896451 6.41984487],M,24
200,[0.        0.        0.        ... 0.        0.        5.4635383],M,27
201,[4.02926737 4.15315539 3.64446786 ... 0.         6.46181366 6.94204263],F,32
202,[4.93156101 3.27472717 2.64982594 ... 0.         6.07522101 5.55867819],M,27
203,[1.991012   3.15555785 3.58411065 ... 0.         4.55428191 4.53215133],M,28
204,[5.36993028 0.         5.34123176 ... 0.         5.44678435 5.6966673 ],M,25
205,[0.         3.92923885 0.         ... 0.         0.         5.00042099],M,25
206,[3.64461005 4.05171504 4.19635321 ... 0.         4.64062353 4.0825592 ],M,32
207,[4.14374194 4.57536568 3.40808447 ... 0.         6.61170302 5.31875891],F,26
208,[0.         5.89928944 0.         ... 0.         6.60645199 5.32636787],M,23
209,[4.48311465 5.83889404 3.97642688 ... 0.         3.53550949 4.75784635],F,26
210,[4.4401487  6.54987125 2.4647973  ... 0.         4.66843017 5.56152009],M,28
211,[3.38496878 5.46574759 4.86880498 ... 6.02402261 7.43025357 6.95378722],F,30
212,[0.         5.98519513 0.         ... 0.         0.         6.57651756],M,31
213,[0.         8.43655872 0.         ... 0.         7.09827888 6.94831396],F,31
214,[2.07780143 5.3487443  5.28899542 ... 0.         5.01630024 5.96052533],M,31
215,[3.05277976 2.79763027 2.62318511 ... 0.         5.17075941 4.99658136],M,35
216,[3.26457095 4.98610325 3.80793628 ... 6.79983777 4.46210633 5.60852575],F,31
217,[0.         2.39144982 0.         ... 0.         7.88088846 6.68591077],M,29
218,[0.         5.94825443 5.48153752 ... 0.         6.92845251 6.18654527],F,22
219,[0. 0. 0. ... 0. 0. 0.],F,29
220,[4.4725407  5.25858379 5.07978863 ... 0.         6.31972176 5.61231894],F,31
221,[0.         6.0249728  5.79763108 ... 0.         0.         6.1889068 ],M,34
222,[2.98443258 3.61198707 4.12521875 ... 0.         4.89942269 4.54243794],F,23
223,[3.4441362  4.55509611 3.88637284 ... 0.         5.5159279  5.398138  ],F,26
224,[0.         4.43297694 3.77066422 ... 0.         5.06869764 3.48087218],M,30
225,[4.10859537 3.71965988 2.88768172 ... 0.         6.98496515 0.        ],F,23
226,[0.        0.        4.4271415 ... 0.        0.        4.7019299],M,29
227,[2.56212779 0.         2.16269574 ... 0.         7.30160445 7.5991625 ],F,28
228,[0.         0.         2.6028322  ... 0.         6.04588732 5.63537548],M,28
229,[0.         4.34617704 2.94838953 ... 0.         5.81234509 5.20815003],M,34
230,[2.87780016 5.16764421 3.8374351  ... 0.         6.74987335 7.34777161],F,35
231,[0.         4.19645775 1.91223269 ... 0.         5.93707456 5.96744591],M,27
232,[3.01595043 3.73824513 3.05323009 ... 0.         4.20831987 5.33312513],F,32
233,[2.8931835  4.83589572 4.14180839 ... 0.         6.17272031 6.66046438],F,28
234,[2.50348173 2.59628592 2.82279001 ... 0.         0.         4.00064596],M,27
235,[0.         4.48941263 2.36889066 ... 0.         0.         6.76689111],F,30
236,[1.76019029 2.23431981 2.74714744 ... 0.         5.09921074 5.28373388],F,25
237,[0.         4.19405883 3.17412658 ... 0.         7.98812516 7.28442004],F,27
238,[3.61352986 6.14767254 5.0419954  ... 0.         5.68210772 5.43779884],M,24
239,[3.0219019  3.77327144 4.31103946 ... 0.         4.9445173  4.2548214 ],M,22
240,[0.        0.        0.        ... 0.        0.        5.6217516],M,31
241,[5.17589809 6.64310417 4.54667005 ... 0.         6.06030011 7.21546686],F,34
