,CM,GENDER,AGE
682,[4.60950673 0.         4.35123791 ... 0.         5.83105379 5.76657701],F,27
683,[2.22389689 6.65908227 6.50339621 ... 0.         5.15412772 5.6377476 ],F,31
684,[2.75714033 5.11432655 5.00938301 ... 0.         4.88871226 5.0385699 ],F,23
685,[3.52547905 6.49961519 0.         ... 0.         7.64067564 6.36711179],F,35
686,[4.75146186 5.99026899 4.65638674 ... 0.         5.02627274 5.56902556],F,23
687,[3.61424341 2.55675436 3.70105386 ... 0.         4.03114798 4.28022381],M,25
688,[0.         4.82268488 1.85186421 ... 0.         3.92588739 4.50166102],M,28
689,[4.16725217 5.76317467 5.14083522 ... 0.         5.25746832 5.5293073 ],M,31
690,[3.10431261 5.7729619  5.80111212 ... 0.         4.60024711 5.51151211],F,29
691,[0.         2.55911297 5.92633644 ... 0.         6.40950349 5.73731285],F,35
692,[4.61500088 4.65928973 4.80215005 ... 0.         6.09622999 5.92696715],F,28
693,[1.6520259  2.48800054 2.3576181  ... 0.         4.87978945 4.3930204 ],M,22
694,[4.64251513 5.06849738 3.89133142 ... 0.         6.40081374 5.11991823],F,35
695,[0.         0.         0.         ... 0.         7.58500452 7.05172797],M,33
696,[2.66217204 3.54554767 2.83666408 ... 0.         5.21208145 3.90445724],M,26
697,[4.94860555 6.87216641 4.9239789  ... 0.         0.         5.49573317],M,34
698,[0.         3.96641547 2.91380646 ... 0.         5.92380448 5.79326208],F,28
699,[4.09552749 0.         0.         ... 0.         0.         6.40417084],M,27
700,[0.         0.         3.43403055 ... 0.         6.3019882  6.04428524],F,32
701,[3.16127702 4.36133699 4.42715857 ... 0.         6.85902146 5.80096342],M,30
702,[0.         5.43725881 0.         ... 0.         6.59273227 5.38145045],M,33
703,[2.41371407 5.18679832 3.02959869 ... 0.         7.33138571 6.62991921],F,26
704,[4.54792444 4.54703905 4.70206089 ... 0.         7.02518195 5.98974238],M,30
705,[0.         0.         0.         ... 0.         0.         6.22069573],F,28
706,[5.2577007  6.5788078  5.54274746 ... 0.         6.18933934 6.69479518],F,29
707,[4.76442872 6.61868736 6.08523246 ... 0.         7.03124573 6.57603955],F,36
708,[3.87640147 4.77923816 3.86849718 ... 0.         5.0981505  6.04030716],F,35
709,[2.28028903 4.72339227 3.79028011 ... 0.         0.         5.67563986],F,36
710,[4.31849693 5.43197087 4.83167681 ... 0.         3.31856116 5.27264495],F,32
711,[4.62910665 4.55182825 4.423551   ... 0.         5.64108006 5.59104737],M,28
712,[3.37259046 6.26513346 5.39934965 ... 0.         6.67816336 6.26265632],M,30
713,[0.         0.         0.         ... 0.         0.         6.40703108],F,28
714,[3.17878874 4.77289828 3.8203205  ... 0.         5.15675311 4.16173847],F,34
715,[2.85493881 3.68928418 4.13837877 ... 0.         7.1114085  5.23011342],M,27
716,[3.61328293 6.9808772  4.47605702 ... 0.         7.88554589 6.47000254],M,33
717,[3.75929087 6.19589917 5.77534599 ... 0.         6.6926879  6.97391417],F,35
718,[4.66684236 5.39899883 4.93291561 ... 0.         6.28412433 5.62098064],F,33
719,[0.         3.1199747  0.         ... 0.         8.16933886 6.03554469],M,29
720,[0.         0.         0.         ... 0.         0.         6.12386698],F,30
721,[3.25203344 0.         4.10746155 ... 0.         0.         4.69482437],M,25
722,[4.63222095 0.         5.43123724 ... 0.         5.45374175 6.75264218],F,29
723,[2.98058802 4.70415829 3.44491871 ... 0.         5.25847256 4.89838553],F,22
724,[4.7355251  4.94081174 4.19549218 ... 0.         4.65034685 5.83923251],M,28
725,[3.71785844 3.46836886 3.32560569 ... 0.         5.64693728 5.15297063],F,30
726,[0.         0.         0.         ... 0.         4.42868966 0.        ],M,30
727,[0.        0.        0.        ... 0.        0.        4.8687272],M,29
728,[3.29887574 3.51914904 2.92292429 ... 0.         6.40067115 6.01846311],M,27
729,[5.93843037 8.76330947 8.64072683 ... 0.         6.1163096  7.06240891],F,30
730,[4.85439254 6.17266787 5.8197827  ... 0.         7.09910193 6.4451849 ],F,33
731,[4.18600371 4.37952755 3.3680716  ... 0.         7.14995747 6.86253755],F,23
732,[4.74246953 3.76180512 2.78116172 ... 0.         5.78036517 5.47149319],M,27
733,[4.24162727 5.33222306 5.08714911 ... 0.         6.71194004 5.7723178 ],F,28
734,[3.1359162  4.95482664 4.14109947 ... 0.         5.8199946  5.36751194],M,29
735,[2.91450521 5.63870168 5.37653266 ... 0.         6.02717085 5.80524032],F,28
736,[4.86798837 5.02880559 4.72557698 ... 0.         4.83415441 5.59596539],M,26
737,[4.48295108 5.76555047 3.98451246 ... 0.         5.7537696  4.55465787],M,32
738,[2.63136816 4.55283387 3.66391526 ... 0.         5.56611058 5.16139263],M,32
739,[2.84776777 4.98286763 2.94885736 ... 0.         5.53809912 5.20987976],M,23
740,[2.61739951 5.97269047 0.         ... 0.         4.32985983 4.35428873],M,32
741,[0.         7.61334037 0.         ... 0.         6.64203934 6.82806829],F,22
742,[0.         5.36985679 2.5720743  ... 0.         7.09503379 7.01504102],M,27
743,[2.36132834 1.91894987 1.97276527 ... 0.         3.86834846 3.4884246 ],F,35
744,[3.50571307 4.91003631 5.3649873  ... 0.         3.76359453 4.5844708 ],M,25
745,[3.3000717  4.27638223 3.96990765 ... 0.         6.31226567 6.26704144],F,34
746,[3.36121385 4.52541139 4.76703314 ... 0.         6.89008005 5.89217297],M,28
747,[4.84355101 4.89956873 4.70874999 ... 0.         7.65625787 7.00719392],F,28
748,[5.32027708 5.67937175 5.85694673 ... 0.         8.58497795 7.60444798],M,24
749,[5.00752626 8.36558994 6.53716263 ... 0.         8.4505726  8.83371866],F,27
750,[0.        0.        0.        ... 0.        0.        5.9733386],M,33
751,[0.         6.25159556 4.99152853 ... 0.         5.61643111 6.37977705],M,22
752,[4.82220102 4.63024445 4.38201286 ... 0.         6.14811101 6.59597313],M,30
753,[7.01305046 6.24182334 5.56187566 ... 0.         6.00024537 7.07556193],F,33
754,[5.28544804 6.20838629 5.6948343  ... 0.         6.51049069 6.33452385],M,35
755,[3.16183986 5.6529211  6.83760823 ... 0.         5.84294725 6.31271804],F,29
756,[3.71783111 0.         2.18141625 ... 0.         5.03703415 5.40269825],M,30
757,[3.4595174  2.76090953 2.01564924 ... 0.         6.03187421 6.17937432],M,25
758,[0.         0.         2.1257411  ... 0.         7.3814672  7.28328768],F,28
